Site_A,Site_B,Fst,significant,f'st,significantLevels,,,
ad21Qu,ad21As,0.059,y,,,,,
ad21Qu,ad21IS,0.053,y,,,,,
ad21Qu,ad21ME,0.054,y,,,,,
ad21Qu,ad21CL,0.055,y,,,,,
ad21GN,ad21JI,0.751,y,,,,,
ad21GN,ad21HI,0.729,y,,,,,
ad21GN,ad21NS,0.001,n,,,,,
ad21GN,ad21Au,0.725,y,,,,,
ad21GN,ad21OI,0.696,y,,,,,
ad21GN,ad21Ad,0.099,y,,,,,
ad21GN,ad21BR,0.104,y,,,,,
ad21GN,ad21As,0.061,y,,,,,
ad21GN,ad21IS,0.056,y,,,,,
ad21GN,ad21ME,0.055,y,,,,,
ad21GN,ad21CL,0.056,y,,,,,
ad21JI,ad21HI,-0.131,y,,,,,
ad21JI,ad21NS,0.731,y,,,,,
ad21JI,ad21Au,-0.044,n,,,,,
ad21JI,ad21OI,0.056,y,,,,,
ad21JI,ad21Ad,0.735,y,,,,,
ad21JI,ad21BR,0.741,y,,,,,
ad21JI,ad21As,0.736,y,,,,,
ad21JI,ad21IS,0.742,y,,,,,
ad21JI,ad21ME,0.737,y,,,,,
ad21JI,ad21CL,0.736,y,,,,,
ad21HI,ad21NS,0.708,y,,,,,
ad21HI,ad21Au,-0.059,n,,,,,
ad21HI,ad21OI,0.196,y,,,,,
ad21HI,ad21Ad,0.717,y,,,,,
ad21HI,ad21BR,0.723,y,,,,,
ad21HI,ad21As,0.716,y,,,,,
ad21HI,ad21IS,0.722,y,,,,,
ad21HI,ad21ME,0.716,y,,,,,
ad21HI,ad21CL,0.715,y,,,,,
ad21NS,ad21Au,0.714,y,,,,,
ad21NS,ad21OI,0.683,y,,,,,
ad21NS,ad21Ad,0.089,y,,,,,
ad21NS,ad21BR,0.093,y,,,,,
ad21NS,ad21As,0.052,y,,,,,
ad21NS,ad21IS,0.047,y,,,,,
ad21NS,ad21ME,0.047,y,,,,,
ad21NS,ad21CL,0.049,y,,,,,
ad21Au,ad21OI,0.003,n,,,,,
ad21Au,ad21Ad,0.722,y,,,,,
ad21Au,ad21BR,0.724,y,,,,,
ad21Au,ad21As,0.724,y,,,,,
ad21Au,ad21IS,0.727,y,,,,,
ad21Au,ad21ME,0.725,y,,,,,
ad21Au,ad21CL,0.725,y,,,,,
ad21OI,ad21Ad,0.691,y,,,,,
ad21OI,ad21BR,0.694,y,,,,,
ad21OI,ad21As,0.691,y,,,,,
ad21OI,ad21IS,0.694,y,,,,,
ad21OI,ad21ME,0.692,y,,,,,
ad21OI,ad21CL,0.692,y,,,,,
ad21Ad,ad21BR,0.003,y,,,,,
ad21Ad,ad21As,0.065,y,,,,,
ad21Ad,ad21IS,0.07,y,,,,,
ad21Ad,ad21ME,0.07,y,,,,,
ad21Ad,ad21CL,0.071,y,,,,,
ad21BR,ad21As,0.07,y,,,,,
ad21BR,ad21IS,0.075,y,,,,,
ad21BR,ad21ME,0.076,y,,,,,
ad21BR,ad21CL,0.077,y,,,,,
ad21As,ad21IS,0.019,y,,,,,
ad21As,ad21ME,0.019,y,,,,,
ad21As,ad21CL,0.02,y,,,,,
ad21IS,ad21ME,0,n,,,,,
ad21IS,ad21CL,-0.001,n,,,,,
ad21ME,ad21CL,0,n,,,,,
un07SL1,un07SL2,0.045,y,,,,,
un07SL1,un07SL4,0.118,y,,,,,
un07SL1,un07SL5,0.064,y,,,,,
un07SL1,un07SS1,0.187,y,,,,,
un07SL1,un07SS3,0.146,y,,,,,
un07SL2,un07SL4,0.083,y,,,,,
un07SL2,un07SL5,0.065,y,,,,,
un07SL2,un07SS1,0.163,y,,,,,
un07SL2,un07SS3,0.111,y,,,,,
un07SL4,un07SL5,0.077,y,,,,,
un07SL4,un07SS1,0.068,y,,,,,
un07SL4,un07SS3,0.033,y,,,,,
un07SL5,un07SS1,0.106,y,,,,,
un07SL5,un07SS3,0.084,y,,,,,
un07SS1,un07SS3,0.051,y,,,,,
th15P1,th15P2,0.019,n,,,,,
th15P1,th15P3,0.028,n,,,,,
th15P1,th15P4,0.045,y,,,,,
th15P1,th15P5,0.018,n,,,,,
th15P1,th15E1,0.013,n,,,,,
th15P1,th15E2,0.011,n,,,,,
th15P1,th15E3,0.02,n,,,,,
th15P1,th15E4,0.018,n,,,,,
th15P1,th15E5,0.014,n,,,,,
th15P1,th15W1,0.016,n,,,,,
th15P1,th15W2,0.017,n,,,,,
th15P1,th15W3,0.016,n,,,,,
th15P1,th15W4,0.015,n,,,,,
th15P1,th15W5,0.012,n,,,,,
th15P2,th15P3,0.029,n,,,,,
th15P2,th15P4,0.037,n,,,,,
th15P2,th15P5,0.033,n,,,,,
th15P2,th15E1,0.016,n,,,,,
th15P2,th15E2,0.012,n,,,,,
th15P2,th15E3,0.012,n,,,,,
th15P2,th15E4,0.012,n,,,,,
th15P2,th15E5,0.013,n,,,,,
th15P2,th15W1,0.01,n,,,,,
th15P2,th15W2,0.02,n,,,,,
th15P2,th15W3,0.014,n,,,,,
th15P2,th15W4,0.015,n,,,,,
th15P2,th15W5,0.016,n,,,,,
th15P3,th15P4,0.02,n,,,,,
th15P3,th15P5,0.039,y,,,,,
th15P3,th15E1,0.023,n,,,,,
th15P3,th15E2,0.025,n,,,,,
th15P3,th15E3,0.03,y,,,,,
th15P3,th15E4,0.029,n,,,,,
th15P3,th15E5,0.028,n,,,,,
th15P3,th15W1,0.022,n,,,,,
th15P3,th15W2,0.026,n,,,,,
th15P3,th15W3,0.022,n,,,,,
th15P3,th15W4,0.039,y,,,,,
th15P3,th15W5,0.024,n,,,,,
th15P4,th15P5,0.048,y,,,,,
th15P4,th15E1,0.031,n,,,,,
th15P4,th15E2,0.036,y,,,,,
th15P4,th15E3,0.042,y,,,,,
th15P4,th15E4,0.04,y,,,,,
th15P4,th15E5,0.036,y,,,,,
th15P4,th15W1,0.028,n,,,,,
th15P4,th15W2,0.039,n,,,,,
th15P4,th15W3,0.034,y,,,,,
th15P4,th15W4,0.045,y,,,,,
th15P4,th15W5,0.032,n,,,,,
th15P5,th15E1,0.027,n,,,,,
th15P5,th15E2,0.02,n,,,,,
th15P5,th15E3,0.031,n,,,,,
th15P5,th15E4,0.031,n,,,,,
th15P5,th15E5,0.028,n,,,,,
th15P5,th15W1,0.027,n,,,,,
th15P5,th15W2,0.027,n,,,,,
th15P5,th15W3,0.032,y,,,,,
th15P5,th15W4,0.03,n,,,,,
th15P5,th15W5,0.016,n,,,,,
th15E1,th15E2,0.01,n,,,,,
th15E1,th15E3,0.015,n,,,,,
th15E1,th15E4,0.014,n,,,,,
th15E1,th15E5,0.01,n,,,,,
th15E1,th15W1,0.008,n,,,,,
th15E1,th15W2,0.014,n,,,,,
th15E1,th15W3,0.014,n,,,,,
th15E1,th15W4,0.013,n,,,,,
th15E1,th15W5,0.01,n,,,,,
th15E2,th15E3,0.009,n,,,,,
th15E2,th15E4,0.008,n,,,,,
th15E2,th15E5,0.012,n,,,,,
th15E2,th15W1,0.007,n,,,,,
th15E2,th15W2,0.013,n,,,,,
th15E2,th15W3,0.012,n,,,,,
th15E2,th15W4,0.011,n,,,,,
th15E2,th15W5,0.011,n,,,,,
th15E3,th15E4,0.008,n,,,,,
th15E3,th15E5,0.012,n,,,,,
th15E3,th15W1,0.008,n,,,,,
th15E3,th15W2,0.016,n,,,,,
th15E3,th15W3,0.01,n,,,,,
th15E3,th15W4,0.015,n,,,,,
th15E3,th15W5,0.015,n,,,,,
th15E4,th15E5,0.015,n,,,,,
th15E4,th15W1,0.008,n,,,,,
th15E4,th15W2,0.016,n,,,,,
th15E4,th15W3,0.008,n,,,,,
th15E4,th15W4,0.015,n,,,,,
th15E4,th15W5,0.014,n,,,,,
th15E5,th15W1,0.009,n,,,,,
th15E5,th15W2,0.015,n,,,,,
th15E5,th15W3,0.014,n,,,,,
th15E5,th15W4,0.013,n,,,,,
th15E5,th15W5,0.013,n,,,,,
th15W1,th15W2,0.016,n,,,,,
th15W1,th15W3,0.008,n,,,,,
th15W1,th15W4,0.012,n,,,,,
th15W1,th15W5,0.01,n,,,,,
th15W2,th15W3,0.016,n,,,,,
th15W2,th15W4,0.017,n,,,,,
th15W2,th15W5,0.014,n,,,,,
th15W3,th15W4,0.017,n,,,,,
th15W3,th15W5,0.015,n,,,,,
th15W4,th15W5,0.013,n,,,,,
ro20Sp,ro20Wa,0.14,y,,,,,
ro20Sp,ro20Al,0.14,y,,,,,
ro20Sp,ro20Rot,0.12,y,,,,,
ro20Sp,ro20As,0.15,y,,,,,
ro20Sp,ro20Sc,0.13,y,,,,,
ro20Sp,ro20Row,0.22,y,,,,,
ro20Sp,ro20Mo,0.25,y,,,,,
ro20Sp,ro20Da,0.33,y,,,,,
ro20Sp,ro20Ni,0.24,y,,,,,
ro20Wa,ro20Al,0.05,y,,,,,
ro20Wa,ro20Rot,0.01,y,,,,,
ro20Wa,ro20As,0.09,y,,,,,
ro20Wa,ro20Sc,0.17,y,,,,,
ro20Wa,ro20Row,0.24,y,,,,,
ro20Wa,ro20Mo,0.25,y,,,,,
ro20Wa,ro20Da,0.34,y,,,,,
ro20Wa,ro20Ni,0.22,y,,,,,
ro20Al,ro20Rot,0.02,y,,,,,
ro20Al,ro20As,0.1,y,,,,,
ro20Al,ro20Sc,0.12,y,,,,,
ro20Al,ro20Row,0.2,y,,,,,
ro20Al,ro20Mo,0.2,y,,,,,
ro20Al,ro20Da,0.31,y,,,,,
ro20Al,ro20Ni,0.19,y,,,,,
ro20Rot,ro20As,0.09,y,,,,,
ro20Rot,ro20Sc,0.14,y,,,,,
ro20Rot,ro20Row,0.21,y,,,,,
ro20Rot,ro20Mo,0.23,y,,,,,
ro20Rot,ro20Da,0.32,y,,,,,
ro20Rot,ro20Ni,0.22,y,,,,,
ro20As,ro20Sc,0.13,y,,,,,
ro20As,ro20Row,0.25,y,,,,,
ro20As,ro20Mo,0.25,y,,,,,
ro20As,ro20Da,0.33,y,,,,,
ro20As,ro20Ni,0.22,y,,,,,
ro20Sc,ro20Row,0.03,y,,,,,
ro20Sc,ro20Mo,0.05,y,,,,,
ro20Sc,ro20Da,0.11,y,,,,,
ro20Sc,ro20Ni,0.05,y,,,,,
ro20Row,ro20Mo,0.05,y,,,,,
ro20Row,ro20Da,0.08,y,,,,,
ro20Row,ro20Ni,0.05,y,,,,,
ro20Mo,ro20Da,0.05,y,,,,,
ro20Mo,ro20Ni,0.04,y,,,,,
ro20Da,ro20Ni,0.09,y,,,,,
wh06Ni,wh06Ab,0.36,y,,,,,0.9904
ev21BB,ev21D,0.007,y,,,,,0.9904
ev21BB,ev21M,0.005,y,,,,,0.6324
ev21BB,ev21PI,0.015,y,,,,,0.9904
ev21BB,ev21O,0.01,y,,,,,0.3237
ev21BB,ev21EG,0.024,y,,,,,0.9183
ev21BB,ev21SB,0.057,y,,,,,0.6775
ev21BB,ev21P,0.354,y,,,,,0.0721
ev21D,ev21M,0.011,y,,,,,0.9904
ev21D,ev21PI,0.009,y,,,,,0.9904
ev21D,ev21O,0.009,y,,,,,0.9904
ev21D,ev21EG,0.022,y,,,,,0.0721
ev21D,ev21SB,0.054,y,,,,,0.0721
ev21D,ev21P,0.329,y,,,,,0.9904
ev21M,ev21PI,0.014,y,,,,,0.3252
ev21M,ev21O,0.009,n,,,,,0.7388
ev21M,ev21EG,0.026,y,,,,,0.3237
ev21M,ev21SB,0.061,y,,,,,0.9904
ev21M,ev21P,0.389,y,,,,,0.0112
ev21PI,ev21O,0.007,y,,,,,0.9904
ev21PI,ev21EG,0.02,y,,,,,0.1861
ev21PI,ev21SB,0.054,y,,,,,0.0888
ev21PI,ev21P,0.334,y,,,,,0.9904
ev21O,ev21EG,0.004,n,,,,,0.4108
ev21O,ev21SB,0.038,y,,,,,0.9183
ev21O,ev21P,0.322,y,,,,,0.6667
ev21EG,ev21SB,0.041,y,,,,,0.6667
ev21EG,ev21P,0.322,y,,,,,0.2516
ev21SB,ev21P,0.37,y,,,,,0.7911
du26NM,du26SM,0.005,y,,,,,0.6667
du26NM,du26NB,0.003,y,,,,,0.6667
du26NM,du26SB,0.004,y,,,,,0.9183
du26NM,du26ta,0.014,y,,,,,0.9183
du26NM,du26ma,0.012,y,,,,,0.9183
du26NM,du26la,0.016,y,,,,,0.6667
du26NM,du26pi,0.007,y,,,,,0.0001
du26NM,du26YC,0.011,y,,,,,0.9183
du26NM,du26SY,0.014,y,,,,,0.2516
du26NM,du26PC,0.015,y,,,,,0.9183
du26NM,du26NR,0.022,y,,,,,0.2531
du26NM,du26SCB,0.023,y,,,,,0.9183
du26NM,du26gn,0.028,y,,,,,0.5603
du26SM,du26NB,-0.002,n,,,,,0.9183
du26SM,du26SB,-0.001,n,,,,,0.2589
du26SM,du26ta,0.001,n,,,,,0.1833
du26SM,du26ma,-0.002,n,,,,,0.6667
du26SM,du26la,0.004,y,,,,,0.3586
du26SM,du26pi,-0.001,n,,,,,0.0001
du26SM,du26YC,-0.001,n,,,,,0.358
du26SM,du26SY,0.001,n,,,,,0.0001
du26SM,du26PC,0.003,y,,,,,0.8613
du26SM,du26NR,0.01,y,,,,,0.9183
du26SM,du26SCB,0.007,y,,,,,0.0001
du26SM,du26gn,0.008,y,,,,,0.9183
du26NB,du26SB,-0.001,n,,,,,0.9183
du26NB,du26ta,0.003,n,,,,,0.6695
du26NB,du26ma,0.004,y,,,,,0.0001
du26NB,du26la,0.006,y,,,,,0.0001
du26NB,du26pi,0.003,y,,,,,0.9183
du26NB,du26YC,0.001,n,,,,,0.5597
du26NB,du26SY,0.004,y,,,,,0.6454
du26NB,du26PC,0.006,y,,,,,0.0001
du26NB,du26NR,0.011,y,,,,,0.9183
du26NB,du26SCB,0.013,y,,,,,0.2729
du26NB,du26gn,0.013,y,,,,,0.9183
du26SB,du26ta,0.006,y,,,,,0.1989
du26SB,du26ma,0.004,y,,,,,0.0001
du26SB,du26la,0.009,y,,,,,0.9183
du26SB,du26pi,0.004,y,,,,,0.6667
du26SB,du26YC,0.004,y,,,,,0.5603
du26SB,du26SY,0.005,y,,,,,0.6667
du26SB,du26PC,0.01,y,,,,,0.6652
du26SB,du26NR,0.016,y,,,,,0.5603
du26SB,du26SCB,0.016,y,,,,,0.6667
du26SB,du26gn,0.017,y,,,,,0.6667
du26ta,du26ma,0,n,,,,,0.3586
du26ta,du26la,0.002,n,,,,,0.6667
du26ta,du26pi,-0.003,n,,,,,0.6667
du26ta,du26YC,-0.003,n,,,,,0.0001
du26ta,du26SY,-0.001,n,,,,,0.0001
du26ta,du26PC,0,n,,,,,0.0001
du26ta,du26NR,0.002,n,,,,,0.6667
du26ta,du26SCB,0.003,n,,,,,0.6667
du26ta,du26gn,0.006,y,,,,,0.6667
du26ma,du26la,0.001,n,,,,,0.3586
du26ma,du26pi,0.003,n,,,,,0.6667
du26ma,du26YC,-0.004,n,,,,,0.1272
du26ma,du26SY,0,n,,,,,0.1272
du26ma,du26PC,0.002,n,,,,,0.3548
du26ma,du26NR,0.004,y,,,,,0.0001
du26ma,du26SCB,0.008,y,,,,,0.0993
du26ma,du26gn,0.006,y,,,,,0.9904
du26la,du26pi,0.001,n,,,,,0.9904
du26la,du26YC,0.002,n,,,,,0.5603
du26la,du26SY,0.002,n,,,,,0.9904
du26la,du26PC,0.003,n,,,,,0.9183
du26la,du26NR,0.005,y,,,,,0.9183
du26la,du26SCB,0.004,y,,,,,0.5603
du26la,du26gn,0.008,y,,,,,0.0001
du26pi,du26YC,-0.002,n,,,,,0.427
du26pi,du26SY,0,n,,,,,0.3237
du26pi,du26PC,0.005,y,,,,,0.3209
du26pi,du26NR,0.009,y,,,,,0.4804
du26pi,du26SCB,0.007,y,,,,,0.9904
du26pi,du26gn,0.011,y,,,,,0.9498
du26YC,du26SY,-0.003,n,,,,,0.2756
du26YC,du26PC,0,n,,,,,0.3574
du26YC,du26NR,0.001,n,,,,,0.3553
du26YC,du26SCB,0,n,,,,,0.9904
du26YC,du26gn,0.001,n,,,,,0.0248
du26SY,du26PC,-0.001,n,,,,,0.751
du26SY,du26NR,0.003,y,,,,,0.1102
du26SY,du26SCB,0.003,y,,,,,0.6667
du26SY,du26gn,0.006,y,,,,,0.9183
du26PC,du26NR,0.001,n,,,,,0.2516
du26PC,du26SCB,0,n,,,,,0.6667
du26PC,du26gn,0.002,n,,,,,0.6667
du26NR,du26SCB,0.002,n,,,,,0.6667
du26NR,du26gn,0.002,y,,,,,0.0001
du26SCB,du26gn,0.005,y,,,,,0.2516
vo11sl63,vo11sl64,0.195,y,,,,,0.0001
vo11sl63,vo11sl65,0.145,y,,,,,0.6667
vo11sl63,vo11ss11,0.071,y,,,,,0.6667
vo11sl63,vo11ss12,0.119,y,,,,,0.635
vo11sl63,vo11ss13,0.098,y,,,,,0.0001
vo11sl63,vo11sl51,0.114,y,,,,,0.0001
vo11sl63,vo11sl52,0.061,y,,,,,0.0001
vo11sl63,vo11sl53,0.067,y,,,,,0.0001
vo11sl64,vo11sl65,0.03,y,,,,,0.0716
vo11sl64,vo11ss11,0.356,y,,,,,0.9995
vo11sl64,vo11ss12,0.444,y,,,,,0.6454
vo11sl64,vo11ss13,0.401,y,,,,,0.9183
vo11sl64,vo11sl51,0.334,y,,,,,0.9183
vo11sl64,vo11sl52,0.334,y,,,,,0.9166
vo11sl64,vo11sl53,0.361,y,,,,,0.6652
vo11sl65,vo11ss11,0.31,y,,,,,0.0001
vo11sl65,vo11ss12,0.404,y,,,,,0.9183
vo11sl65,vo11ss13,0.357,y,,,,,0.2516
vo11sl65,vo11sl51,0.289,y,,,,,0.6652
vo11sl65,vo11sl52,0.296,y,,,,,0.751
vo11sl65,vo11sl53,0.323,y,,,,,0.9904
vo11ss11,vo11ss12,0.034,y,,,,,0.949
vo11ss11,vo11ss13,0.013,y,,,,,0.9904
vo11ss11,vo11sl51,0.063,y,,,,,0.6467
vo11ss11,vo11sl52,0.008,y,,,,,0.6049
vo11ss11,vo11sl53,0.016,y,,,,,0.9904
vo11ss12,vo11ss13,0.007,y,,,,,0.7166
vo11ss12,vo11sl51,0.178,y,,,,,0.3586
vo11ss12,vo11sl52,0.056,y,,,,,0.7479
vo11ss12,vo11sl53,0.063,y,,,,,0.9183
vo11ss13,vo11sl51,0.129,y,,,,,0.9183
vo11ss13,vo11sl52,0.025,y,,,,,0.3548
vo11ss13,vo11sl53,0.027,y,,,,,0.0001
vo11sl51,vo11sl52,0.056,y,,,,,0.9995
vo11sl51,vo11sl53,0.074,y,,,,,0.3328
vo11sl52,vo11sl53,0,n,,,,,0.6446
th22rs,th22sr,0.25,y,,,,,0.33
,,,,,,,,0.9995
,,,,,,,,0.9841
,,,,,,,,0.8878
,,,,,,,,0.6368
,,,,,,,,0.5765
,,,,,,,,0.9995
,,,,,,,,0.8982
,,,,,,,,0.6667
,,,,,,,,0.0001
,,,,,,,,0.6454
,,,,,,,,0.6667
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.6667
,,,,,,,,0.6652
,,,,,,,,0.3586
,,,,,,,,0.0001
,,,,,,,,0.0847
,,,,,,,,0.1219
,,,,,,,,0.2488
,,,,,,,,0.0001
,,,,,,,,0.9183
,,,,,,,,0.9183
,,,,,,,,0.6667
,,,,,,,,0.0001
,,,,,,,,0.9183
,,,,,,,,0.2516
,,,,,,,,0.9183
,,,,,,,,0.9183
,,,,,,,,0.9183
,,,,,,,,0.6667
,,,,,,,,0.9183
,,,,,,,,0.3659
,,,,,,,,0.2938
,,,,,,,,0.6667
,,,,,,,,0.4379
,,,,,,,,0.9183
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.9183
,,,,,,,,0.5597
,,,,,,,,0.6667
,,,,,,,,0.2516
,,,,,,,,0.9183
,,,,,,,,0.427
,,,,,,,,0.9183
,,,,,,,,0.3451
,,,,,,,,0.2082
,,,,,,,,0.9183
,,,,,,,,0.6667
,,,,,,,,0.6454
,,,,,,,,0.0001
,,,,,,,,0.6695
,,,,,,,,0.2516
,,,,,,,,0.6652
,,,,,,,,0.6667
,,,,,,,,0.9183
,,,,,,,,0.9038
,,,,,,,,0.9183
,,,,,,,,0.3628
,,,,,,,,0.2941
,,,,,,,,0.9183
,,,,,,,,0.3347
,,,,,,,,0.6667
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.6667
,,,,,,,,0.6667
,,,,,,,,0.5603
,,,,,,,,0.0001
,,,,,,,,0.0708
,,,,,,,,0.0847
,,,,,,,,0.2488
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.6667
,,,,,,,,0.0001
,,,,,,,,0.2683
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.9183
,,,,,,,,0.6667
,,,,,,,,0.0001
,,,,,,,,0.9183
,,,,,,,,0.2531
,,,,,,,,0.9183
,,,,,,,,0.2525
,,,,,,,,0.0001
,,,,,,,,0.9183
,,,,,,,,0.6667
,,,,,,,,0.6667
,,,,,,,,0.2516
,,,,,,,,0.2531
,,,,,,,,0.0001
,,,,,,,,0.9183
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.9183
,,,,,,,,0.5118
,,,,,,,,0.0001
,,,,,,,,0.6667
,,,,,,,,0.0001
,,,,,,,,0.6667
,,,,,,,,0.2066
,,,,,,,,0.1219
,,,,,,,,0.6667
,,,,,,,,0.3586
,,,,,,,,0.6667
,,,,,,,,0.717
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0001
,,,,,,,,0.0716
,,,,,,,,0.9899
,,,,,,,,0.9183
,,,,,,,,0.7938
,,,,,,,,0.8473
,,,,,,,,0.9183
,,,,,,,,0.9899
,,,,,,,,0.127
,,,,,,,,0.9899
,,,,,,,,0.9158
,,,,,,,,0.9899
,,,,,,,,0.3482
,,,,,,,,0.3586
,,,,,,,,0.1272
,,,,,,,,0.6667
,,,,,,,,0.635
,,,,,,,,0.9899
,,,,,,,,0.9899
,,,,,,,,0.9899
,,,,,,,,0.9183
,,,,,,,,0.9899
,,,,,,,,0.9899
,,,,,,y,,
