Site_A,Site_B,Fst,significant,f'st,significantLevels,,,
ev19Bu2,ev19SB2,0.114,y,,,,,
ev19Mu1,ev19Mu2,0.016,n,,,,,
ev19Mu1,ev19N1,0.023,n,,,,,
ev19Mu1,ev19N2,0.023,n,,,,,
ev19Mu1,ev19CB,0.04,y,,,,,
ev19Mu1,ev19SB1,0.103,y,,,,,
ev19Mu1,ev19SB2,0.109,y,,,,,
ev19Mu2,ev19N1,0.017,n,,,,,
ev19Mu2,ev19N2,0.015,n,,,,,
ev19Mu2,ev19CB,0.046,y,,,,,
ev19Mu2,ev19SB1,0.113,y,,,,,
ev19Mu2,ev19SB2,0.109,y,,,,,
ev19N1,ev19N2,0.022,n,,,,,
ev19N1,ev19CB,0.031,y,,,,,
ev19N1,ev19SB1,0.121,y,,,,,
ev19N1,ev19SB2,0.124,y,,,,,
ev19N2,ev19CB,0.051,y,,,,,
ev19N2,ev19SB1,0.105,y,,,,,
ev19N2,ev19SB2,0.106,y,,,,,
ev19CB,ev19SB1,0.138,y,,,,,
ev19CB,ev19SB2,0.13,y,,,,,
ev19SB2,ev19SB1,0.087,y,,,,,
ev21P,ev21ALL,0.372,y,,,,,
ros16As,ros16Sc,0.2126,y,0.27,,,,
ros16As,ros16Ro,0.3289,y,0.49,,,,
ros16As,ros16M,0.3007,y,0.43,,,,
ros16As,ros16D,0.3671,y,0.58,,,,
ros16As,ros16N,0.2857,y,0.4,,,,
ros16Sc,ros16Ro,0.0654,y,0.07,,,,
ros16Sc,ros16M,0.0909,y,0.1,,,,
ros16Sc,ros16D,0.1803,y,0.22,,,,
ros16Sc,ros16N,0.0909,y,0.1,,,,
ros16Ro,ros16M,0.0826,y,0.09,,,,
ros16Ro,ros16D,0.1304,y,0.15,,,,
ros16Ro,ros16N,0.0826,y,0.09,,,,
ros16D,ros16N,0.1379,y,0.16,,,,
ros16M,ros16D,0.0654,y,0.07,,,,
ros16M,ros16N,0.0654,y,0.07,,,,
un09SL1,un09SL2,0,n,,,,,
un09SL1,un09SL4,0.02,y,,,,,
un09SL1,un09SL5,0.02,y,,,,,
un09SL1,un09SS1,0.02,y,,,,,
un09SL1,un09SS2,0.04,y,,,,,
un09SL1,un09SS3,0.06,y,,,,,
un09SL1,un09RS11,0.01,y,,,,,
un09SL1,un09RS1S,0.04,y,,,,,
un09SL1,un09RS22,0.02,y,,,,,
un09SL1,un09RS2S,0.02,y,,,,,
un09SL1,un09RS33,0.03,y,,,,,
un09SL1,un09RS3S,0.06,y,,,,,
un09SL1,un09DC1,0.07,y,,,,,
un09SL1,un09DE1,0.09,y,,,,,
un09SL1,un09DE2,0.07,y,,,,,
un09SL1,un09DE3,0.09,y,,,,,
un09SL1,un09DW1,0.06,y,,,,,
un09SL1,un09DW2,0.08,y,,,,,
un09SL1,un09N1,0.05,y,,,,,
un09SL1,un09N3,0.05,y,,,,,
un09SL1,un09N4,0.06,y,,,,,
un09SL1,un09N5,0.07,y,,,,,
un09SL1,un09N6,0.06,y,,,,,
un09SL1,un09N7,0.06,y,,,,,
un09SL1,un09N8,0.05,y,,,,,
un09SL2,un09SL4,0.01,y,,,,,
un09SL2,un09SL5,0,y,,,,,
un09SL2,un09SS1,0.01,y,,,,,
un09SL2,un09SS2,0.02,y,,,,,
un09SL2,un09SS3,0.03,y,,,,,
un09SL2,un09RS11,0.02,y,,,,,
un09SL2,un09RS1S,0.04,y,,,,,
un09SL2,un09RS22,0.01,y,,,,,
un09SL2,un09RS2S,0,y,,,,,
un09SL2,un09RS33,0.01,y,,,,,
un09SL2,un09RS3S,0.03,y,,,,,
un09SL2,un09DC1,0.08,y,,,,,
un09SL2,un09DE1,0.09,y,,,,,
un09SL2,un09DE2,0.08,y,,,,,
un09SL2,un09DE3,0.1,y,,,,,
un09SL2,un09DW1,0.07,y,,,,,
un09SL2,un09DW2,0.1,y,,,,,
un09SL2,un09N1,0.05,y,,,,,
un09SL2,un09N3,0.04,y,,,,,
un09SL2,un09N4,0.05,y,,,,,
un09SL2,un09N5,0.06,y,,,,,
un09SL2,un09N6,0.05,y,,,,,
un09SL2,un09N7,0.05,y,,,,,
un09SL2,un09N8,0.06,y,,,,,
un09SL4,un09SL5,0,y,,,,,
un09SL4,un09SS1,0.01,y,,,,,
un09SL4,un09SS2,0.01,y,,,,,
un09SL4,un09SS3,0.01,y,,,,,
un09SL4,un09RS11,0.03,y,,,,,
un09SL4,un09RS1S,0.04,y,,,,,
un09SL4,un09RS22,0.03,y,,,,,
un09SL4,un09RS2S,0.02,y,,,,,
un09SL4,un09RS33,0.04,y,,,,,
un09SL4,un09RS3S,0.05,y,,,,,
un09SL4,un09DC1,0.08,y,,,,,
un09SL4,un09DE1,0.09,y,,,,,
un09SL4,un09DE2,0.07,y,,,,,
un09SL4,un09DE3,0.09,y,,,,,
un09SL4,un09DW1,0.07,y,,,,,
un09SL4,un09DW2,0.09,y,,,,,
un09SL4,un09N1,0.04,y,,,,,
un09SL4,un09N3,0.03,y,,,,,
un09SL4,un09N4,0.04,y,,,,,
un09SL4,un09N5,0.05,y,,,,,
un09SL4,un09N6,0.04,y,,,,,
un09SL4,un09N7,0.04,y,,,,,
un09SL4,un09N8,0.04,y,,,,,
un09SL5,un09SS1,0.01,y,,,,,
un09SL5,un09SS2,0.02,y,,,,,
un09SL5,un09SS3,0.02,y,,,,,
un09SL5,un09RS11,0.02,y,,,,,
un09SL5,un09RS1S,0.03,y,,,,,
un09SL5,un09RS22,0.01,y,,,,,
un09SL5,un09RS2S,0,y,,,,,
un09SL5,un09RS33,0.02,y,,,,,
un09SL5,un09RS3S,0.03,y,,,,,
un09SL5,un09DC1,0.07,y,,,,,
un09SL5,un09DE1,0.08,y,,,,,
un09SL5,un09DE2,0.07,y,,,,,
un09SL5,un09DE3,0.09,y,,,,,
un09SL5,un09DW1,0.06,y,,,,,
un09SL5,un09DW2,0.09,y,,,,,
un09SL5,un09N1,0.04,y,,,,,
un09SL5,un09N3,0.03,y,,,,,
un09SL5,un09N4,0.04,y,,,,,
un09SL5,un09N5,0.05,y,,,,,
un09SL5,un09N6,0.04,y,,,,,
un09SL5,un09N7,0.04,y,,,,,
un09SL5,un09N8,0.04,y,,,,,
un09SS1,un09SS2,0.02,y,,,,,
un09SS1,un09SS3,0.01,y,,,,,
un09SS1,un09RS11,0.03,y,,,,,
un09SS1,un09RS1S,0.04,y,,,,,
un09SS1,un09RS22,0.03,y,,,,,
un09SS1,un09RS2S,0.01,y,,,,,
un09SS1,un09RS33,0.02,y,,,,,
un09SS1,un09RS3S,0.03,y,,,,,
un09SS1,un09DC1,0.06,y,,,,,
un09SS1,un09DE1,0.08,y,,,,,
un09SS1,un09DE2,0.06,y,,,,,
un09SS1,un09DE3,0.08,y,,,,,
un09SS1,un09DW1,0.06,y,,,,,
un09SS1,un09DW2,0.09,y,,,,,
un09SS1,un09N1,0.03,y,,,,,
un09SS1,un09N3,0.03,y,,,,,
un09SS1,un09N4,0.04,y,,,,,
un09SS1,un09N5,0.04,y,,,,,
