region,reef,siteID,author,year,taxon,species,studyID,lat,lon,lat_spec,lon_spec,spawnMode,studyType,geneMarkers
Ningaloo,Pilgonaman,Pilgonaman,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26pi,-22.4714,113.455,-22.174,113.855,,,
Ningaloo,Yardi Creek,Yardi Creek,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26YC,-22.4714,113.455,-22.292,113.808,,,
Ningaloo,South Yardi,South Yardi,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26SY,-22.4714,113.455,-22.362,113.763,,,
Ningaloo,Point Cloates,Point Cloates,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26PC,-22.4714,113.455,-22.696,113.65,,,
Ningaloo,North Reef,North Reef,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26NR,-22.4714,113.455,-23.023,113.781,,,
Ningaloo,South Coral Bay,South Coral Bay,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26SCB,-22.4714,113.455,-23.217,113.765,,,
Ningaloo,Gnaraloo,Gnaraloo,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26gn,-22.4714,113.455,-23.765,113.546,,,
Shark Bay,SharkBay,Shark Bay 1,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19SB1,-25.3,113.06,-26.1244,113.2357,broadcast,genetic,
Shark Bay,SharkBay,Shark Bay 2,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19SB2,-25.3,113.06,-25.8513,113.3481,broadcast,genetic,
Shark Bay,SharkBay,Shark Bay,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21SB,-25.3,113.06,-25.983,113.19,broadcast,genetic,"mtDNA, SNP"
Central Coast,Jurien Bay,Jurien Bay,Stoddart et al,1984,Pocillopora spp.,Pocillopora damicornis,,,,-30.03,114.53,,,
Southwest coast,Perth,Perth,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21P,-29.4536,114.5037,-31.693,115,broadcast,genetic,"mtDNA, SNP"
Abrolhos,Pelsaert,P1,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15P1,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,microsatellite
Abrolhos,Pelsaert,P2,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15P2,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Pelsaert,P3,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15P3,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Pelsaert,P4,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15P4,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Pelsaert,P5,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15P5,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Easter,E1,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15E1,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Easter,E2,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15E2,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Easter,E3,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15E3,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Easter,E4,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15E4,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Easter,E5,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15E5,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Wallabi,W1,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15W1,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Wallabi,W2,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15W2,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Wallabi,W3,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15W3,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Wallabi,W4,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15W4,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
Abrolhos,Wallabi,W5,Thomas et al ,2015,Acropora spp.,Acropora spicifera,th15W5,-28.3556,113.3955,-28.7,113.8,broadcast,genetic,
