region,reef,siteID,author,year,taxon,species,studyID,lat,lon,lat_spec,lon_spec,spawnMode,studyType,geneMarkers
Scott Reef,SouthScott,SS1,Underwood,2009,Acropora spp.,Acropora tenuis,un09SS1,-14.1,121.8,-14,121.77,broadcast,genetic,
Scott Reef,NorthScott,SS2,Underwood,2009,Acropora spp.,Acropora tenuis,un09SS2,-14.1,121.8,-13.95,121.8,broadcast,genetic,
Scott Reef,Seringapatam,SS3,Underwood,2009,Acropora spp.,Acropora tenuis,un09SS3,-14.1,121.8,-13.9,121.83,broadcast,genetic,
Scott Reef,SouthScott,SL1,Underwood,2007,Seriatopora spp.,Seriatopora hystrix,un07SL1,-14.1,121.8,-14.05,121.8,brooding,genetic,
Scott Reef,SouthScott,SL2,Underwood,2007,Seriatopora spp.,Seriatopora hystrix,un07SL2,-14.1,121.8,-14.1,121.85,brooding,genetic,
Scott Reef,NorthScott,SL4,Underwood,2007,Seriatopora spp.,Seriatopora hystrix,un07SL4,-14.1,121.8,-14.1,121.9,brooding,genetic,
Scott Reef,CentralScott,SL5,Underwood,2007,Seriatopora spp.,Seriatopora hystrix,un07SL5,-14.1,121.8,-14.12,121.88,brooding,genetic,
Scott Reef,SouthScott,SS1,Underwood,2007,Seriatopora spp.,Seriatopora hystrix,un07SS1,-14.1,121.8,-14,121.77,brooding,genetic,
Scott Reef,Seringapatam,SS3,Underwood,2007,Seriatopora spp.,Seriatopora hystrix,un07SS3,-14.1,121.8,-13.9,121.83,brooding,genetic,
Scott Reef,Scott,Scott,Thomas et al,2022,Acropora spp.,Acropora tenuis,th22sr,-14.1,121.8,-13.9,121.83,,,
Scott Reef,,SL1-04-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL1-04-AU,,,,,,,
Scott Reef,,SL2-04-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL2-04-AU,,,,,,,
Scott Reef,,SL4-04-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL4-04-AU,,,,,,,
Scott Reef,,SS1-04-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS1-04-AU,,,,,,,
Scott Reef,,SS2-04-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS2-04-AU,,,,,,,
Scott Reef,,SS3-04-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS3-04-AU,,,,,,,
Scott Reef,,SL1-09-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL1-09-AU,,,,,,,
Scott Reef,,SS1-09-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS1-09-AU,,,,,,,
Scott Reef,,SL1-14-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL1-14-AU,,,,,,,
Scott Reef,,SL2-14-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL2-14-AU,,,,,,,
Scott Reef,,SL4-14-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL4-14-AU,,,,,,,
Scott Reef,,SS1-14-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS1-14-AU,,,,,,,
Scott Reef,,SS2-14-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS2-14-AU,,,,,,,
Scott Reef,,SS3-14-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS3-14-AU,,,,,,,
Scott Reef,,SL1-15-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL1-15-AU,,,,,,,
Scott Reef,,SL2-15-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL2-15-AU,,,,,,,
Scott Reef,,SS1-15-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS1-15-AU,,,,,,,
Scott Reef,,SS2-15-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS2-15-AU,,,,,,,
Scott Reef,,SS3-15-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS3-15-AU,,,,,,,
Scott Reef,,SL1_2021-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL1_2021-AU,,,,,,,
Scott Reef,,SL2-2021-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL2-2021-AU,,,,,,,
Scott Reef,,SL4_2021-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SL4_2021-AU,,,,,,,
Scott Reef,,SS1_2021-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS1_2021-AU,,,,,,,
Scott Reef,,SS2_2021-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS2_2021-AU,,,,,,,
Scott Reef,,SS3_2021-AU,Thomas et al,2024,Acropora spp.,Acropora spp.,SS3_2021-AU,,,,,,,
Scott Reef,Scott,Scott,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20Sc,-14.1,121.8,-14.139,122.023,broadcast,genetic,microsatellite
Ashmore,Ashmore,Ashmore,Rosser et al,2016,Acropora spp.,Acropora tenuis,ros16As,-12.2,123,-12.25,123.05,broadcast,genetic,
Ashmore,Ashmore,Ashmore,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21As,-12.2,123,-12.17,123.06,broadcast,genetic,
Ashmore,Ashmore,Ashmore,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20As,-12.2,123,-12.2378,122.9871,broadcast,genetic,microsatellite
Timor Sea,Indonesia,Spermonde,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20Sp,-8.2679,124.4009,-5.0474,119.3243,broadcast,genetic,microsatellite
Timor Sea,Indonesia,Wakitobi,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20Wa,-8.2679,124.4009,-5.2675,123.5178,broadcast,genetic,microsatellite
Timor Sea,Indonesia,Alor,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20Al,-8.2679,124.4009,-8.2679,124.4009,broadcast,genetic,microsatellite
Timor Sea,Indonesia,Rote,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20Rot,-8.2679,124.4009,-10.838,122.7308,broadcast,genetic,microsatellite
Scott Reef,,,,,,,,,,,,,,
Scott Reef,SL6-3,SL6-3,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11sl63,,,,,,,
Scott Reef,SL6-4,SL6-4,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11sl64,,,,,,,
Scott Reef,SL6-5,SL6-5,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11sl65,,,,,,,
Scott Reef,SS1-1,SS1-1,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11ss11,,,,,,,
Scott Reef,SS1-2,SS1-2,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11ss12,,,,,,,
Scott Reef,SS1-3,SS1-3,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11ss13,,,,,,,
Scott Reef,SL5-1,SL5-1,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11sl51,,,,,,,
Scott Reef,SL52,SL52,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11sl52,,,,,,,
Scott Reef,SL5-3,SL5-3,van Oppen et al,2011,Seriatopora hystrix,Seriatopora hystrix,vo11sl53,,,,,,,
