Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution,geo_dist_km
ev19K,ev19CB,0.042,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-23.1404,113.753,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Ningaloo,Microsatellite,Medium,1361.3301837439917
ev19K,ev19SB1,0.146,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-26.1244,113.2357,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Shark Bay,Microsatellite,Medium,1608.9324502285576
ev19K,ev19SB2,0.155,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-25.8513,113.3481,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Shark Bay,Microsatellite,Medium,1580.162975961188
ev19D1,ev19M1,0.019,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara Offshore,Microsatellite,Medium,101.1772666362082
ev19D1,ev19M2,0.018,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara Offshore,Microsatellite,Medium,106.61642317778073
ev19D1,ev19Mu1,0.018,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.6454,114.3823,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara Offshore,Microsatellite,Medium,255.96412735573335
ev19D1,ev19Mu2,0.022,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.669,114.3508,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara Offshore,Microsatellite,Medium,260.08064720184086
ev19D1,ev19T1,0.018,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4514,115.0326,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara nearshore,Microsatellite,Medium,186.9360214155448
ev19D1,ev19T2,0.025,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4448,114.9885,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara nearshore,Microsatellite,Medium,190.41546515348958
ev19D1,ev19EG1,0.029,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.3008,114.1781,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Exmouth Gulf,Microsatellite,Medium,313.8323878142899
