Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution
un09N5,un09N6,0.01,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.5,113.8,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.7,113.78,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N5,un09N7,0.03,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.5,113.8,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23,113.75,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N5,un09N8,0,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.5,113.8,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23.2,113.73,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N6,un09N7,0,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.7,113.78,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23,113.75,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N6,un09N8,0.01,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.7,113.78,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23.2,113.73,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N7,un09N8,0.02,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23,113.75,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23.2,113.73,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
th20MS1dig,th20MS2dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.15,119.4,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.18,119.42,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1dig,th20ML1dig,0.018,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.15,119.4,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.1,119.36,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1dig,th20ML2dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.15,119.4,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.13,119.38,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1dig,th20CS1dig,0.018,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.15,119.4,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.09,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1dig,th20CS2dig,0.014,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.15,119.4,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.33,119.11,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1dig,th20CL1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.15,119.4,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.29,119.05,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1dig,th20CL2dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.15,119.4,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.07,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1dig,th20IS1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.15,119.4,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.52,118.95,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2dig,th20ML1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.18,119.42,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.1,119.36,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2dig,th20ML2dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.18,119.42,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.13,119.38,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2dig,th20CS1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.18,119.42,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.09,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2dig,th20CS2dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.18,119.42,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.33,119.11,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2dig,th20CL1dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.18,119.42,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.29,119.05,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2dig,th20CL2dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.18,119.42,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.07,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2dig,th20IS1dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.18,119.42,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.52,118.95,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1dig,th20ML2dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.1,119.36,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.13,119.38,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1dig,th20CS1dig,0.018,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.1,119.36,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.09,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1dig,th20CS2dig,0.014,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.1,119.36,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.33,119.11,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1dig,th20CL1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.1,119.36,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.29,119.05,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1dig,th20CL2dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.1,119.36,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.07,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1dig,th20IS1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.1,119.36,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.52,118.95,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2dig,th20CS1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.13,119.38,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.09,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2dig,th20CS2dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.13,119.38,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.33,119.11,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2dig,th20CL1dig,0.011,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.13,119.38,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.29,119.05,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2dig,th20CL2dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.13,119.38,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.07,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2dig,th20IS1dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.13,119.38,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.52,118.95,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS1dig,th20CS2dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.09,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.33,119.11,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS1dig,th20CL1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.09,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.29,119.05,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS1dig,th20CL2dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.09,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.07,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS1dig,th20IS1dig,0.015,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.09,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.52,118.95,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS2dig,th20CL1dig,0.011,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.33,119.11,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.29,119.05,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS2dig,th20CL2dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.33,119.11,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.07,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS2dig,th20IS1dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.33,119.11,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.52,118.95,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CL1dig,th20CL2dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.29,119.05,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.07,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CL1dig,th20IS1dig,0.012,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.29,119.05,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.52,118.95,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CL2dig,th20IS1dig,0.013,y,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.3,119.07,Acropora,th20,Rowley Shoals,broadcast,Acropora digitifera,Thomas et al,2020,-17.52,118.95,Acropora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1bru,th20MS2bru,0.022,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.15,119.4,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.18,119.42,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1bru,th20ML1bru,0.035,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.15,119.4,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.1,119.36,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1bru,th20ML2bru,0.058,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.15,119.4,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.13,119.38,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1bru,th20CS1bru,0.03,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.15,119.4,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.09,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1bru,th20CS2bru,0.027,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.15,119.4,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.33,119.11,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1bru,th20CL1bru,0.034,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.15,119.4,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.29,119.05,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1bru,th20CL2bru,0.034,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.15,119.4,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.07,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS1bru,th20IS1bru,0.034,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.15,119.4,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.52,118.95,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2bru,th20ML1bru,0.035,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.18,119.42,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.1,119.36,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2bru,th20ML2bru,0.056,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.18,119.42,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.13,119.38,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2bru,th20CS1bru,0.024,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.18,119.42,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.09,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2bru,th20CS2bru,0.022,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.18,119.42,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.33,119.11,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2bru,th20CL1bru,0.034,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.18,119.42,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.29,119.05,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2bru,th20CL2bru,0.034,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.18,119.42,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.07,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20MS2bru,th20IS1bru,0.028,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.18,119.42,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.52,118.95,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1bru,th20ML2bru,0.059,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.1,119.36,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.13,119.38,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1bru,th20CS1bru,0.038,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.1,119.36,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.09,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1bru,th20CS2bru,0.036,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.1,119.36,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.33,119.11,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1bru,th20CL1bru,0.038,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.1,119.36,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.29,119.05,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1bru,th20CL2bru,0.038,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.1,119.36,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.07,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML1bru,th20IS1bru,0.041,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.1,119.36,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.52,118.95,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2bru,th20CS1bru,0.06,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.13,119.38,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.09,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2bru,th20CS2bru,0.056,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.13,119.38,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.33,119.11,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2bru,th20CL1bru,0.059,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.13,119.38,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.29,119.05,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2bru,th20CL2bru,0.059,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.13,119.38,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.07,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20ML2bru,th20IS1bru,0.062,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.13,119.38,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.52,118.95,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS1bru,th20CS2bru,0.014,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.09,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.33,119.11,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS1bru,th20CL1bru,0.03,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.09,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.29,119.05,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS1bru,th20CL2bru,0.03,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.09,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.07,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS1bru,th20IS1bru,0.028,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.09,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.52,118.95,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS2bru,th20CL1bru,0.026,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.33,119.11,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.29,119.05,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS2bru,th20CL2bru,0.027,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.33,119.11,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.07,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CS2bru,th20IS1bru,0.026,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.33,119.11,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.52,118.95,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CL1bru,th20CL2bru,0.016,n,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.29,119.05,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.07,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CL1bru,th20IS1bru,0.035,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.29,119.05,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.52,118.95,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
th20CL2bru,th20IS1bru,0.035,y,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.3,119.07,Isopora,th20,Rowley Shoals,brooding,Isopora brueggemanni,Thomas et al,2020,-17.52,118.95,Isopora,th20,th20,TRUE,Rowley Shoals <-> Rowley Shoals,SNP,High
ad21Qu,ad21GN,0,n,Ningaloo,broadcast,Acropora digitifera,Adam et al,2022,-24.49,113.41,Acropora,ad21,Ningaloo,broadcast,Acropora digitifera,Adam et al,2022,-23.82,113.52,Acropora,ad21,ad21,TRUE,Ningaloo <-> Ningaloo,SNP,High
ad21Qu,ad21NS,0,n,Ningaloo,broadcast,Acropora digitifera,Adam et al,2022,-24.49,113.41,Acropora,ad21,Ningaloo,broadcast,Acropora digitifera,Adam et al,2022,-23.44,113.78,Acropora,ad21,ad21,TRUE,Ningaloo <-> Ningaloo,SNP,High
ad21GN,ad21NS,0.001,n,Ningaloo,broadcast,Acropora digitifera,Adam et al,2022,-23.82,113.52,Acropora,ad21,Ningaloo,broadcast,Acropora digitifera,Adam et al,2022,-23.44,113.78,Acropora,ad21,ad21,TRUE,Ningaloo <-> Ningaloo,SNP,High
ad21JI,ad21HI,0,y,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.71,124.47,Acropora,ad21,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.06,124.73,Acropora,ad21,ad21,TRUE,Kimberley Nearshore <-> Kimberley Nearshore,SNP,High
ad21JI,ad21Au,0,n,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.71,124.47,Acropora,ad21,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.47,124.55,Acropora,ad21,ad21,TRUE,Kimberley Nearshore <-> Kimberley Nearshore,SNP,High
ad21JI,ad21OI,0.056,y,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.71,124.47,Acropora,ad21,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-14.67,124.68,Acropora,ad21,ad21,TRUE,Kimberley Nearshore <-> Kimberley Nearshore,SNP,High
ad21JI,ad21Ad,0.735,y,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.71,124.47,Acropora,ad21,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.53,123.2,Acropora,ad21,ad21,TRUE,Kimberley Nearshore <-> Kimberley Nearshore,SNP,High
ad21JI,ad21BR,0.741,y,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.71,124.47,Acropora,ad21,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.32,123.54,Acropora,ad21,ad21,TRUE,Kimberley Nearshore <-> Kimberley Nearshore,SNP,High
ad21HI,ad21Au,0,n,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.06,124.73,Acropora,ad21,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.47,124.55,Acropora,ad21,ad21,TRUE,Kimberley Nearshore <-> Kimberley Nearshore,SNP,High
ad21HI,ad21OI,0.196,y,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-15.06,124.73,Acropora,ad21,Kimberley Nearshore,broadcast,Acropora digitifera,Adam et al,2022,-14.67,124.68,Acropora,ad21,ad21,TRUE,Kimberley Nearshore <-> Kimberley Nearshore,SNP,High
