Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution
ev19SB2,ev19SB1,0.087,y,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-25.8513,113.3481,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-26.1244,113.2357,Cyphastrea,ev19,ev19,TRUE,Shark Bay <-> Shark Bay,Microsatellite,Medium
un09SL1,un09SL2,0,n,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.05,121.8,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.85,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL1,un09SL4,0.02,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.05,121.8,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.9,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL1,un09SL5,0.02,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.05,121.8,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.12,121.88,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL1,un09SS1,0.02,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.05,121.8,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14,121.77,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL1,un09SS2,0.04,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.05,121.8,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.95,121.8,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL1,un09SS3,0.06,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.05,121.8,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.9,121.83,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL2,un09SL4,0.01,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.85,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.9,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL2,un09SL5,0,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.85,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.12,121.88,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL2,un09SS1,0.01,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.85,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14,121.77,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL2,un09SS2,0.02,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.85,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.95,121.8,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL2,un09SS3,0.03,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.85,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.9,121.83,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
