region_pair,n_comparisons,n_studies,mean_fst,sd_fst,min_fst,max_fst,n_significant,studies_list,Region_A,Region_B,connectivity
Ningaloo <-> Pilbara nearshore,6,1,0.034833333333333334,0.014729788412148583,0.022,0.054,5,ev19,Ningaloo,Pilbara nearshore,High
Ningaloo <-> Rowley Shoals,53,4,0.05838867924528302,0.014805893581966692,0.03,0.09,53,ad21; ro20; ros16; un09,Ningaloo,Rowley Shoals,Moderate
Ningaloo <-> Scott Reef,51,3,0.05237058823529412,0.018647362216867535,0.02,0.1,51,ro20; ros16; un09,Ningaloo,Scott Reef,Moderate
Ningaloo <-> Shark Bay,6,1,0.12066666666666667,0.013109792777411351,0.105,0.138,6,ev19,Ningaloo,Shark Bay,Moderate
Ningaloo <-> Timor Sea,4,1,0.2175,0.020615528128088298,0.19,0.24,4,ro20,Ningaloo,Timor Sea,Low
Pilbara Offshore <-> Rowley Shoals,2,2,0.0663,0.023051681066681453,0.05,0.0826,2,ro20; ros16,Pilbara Offshore,Rowley Shoals,Moderate
Pilbara Offshore <-> Scott Reef,2,2,0.07045,0.02892066735052979,0.05,0.0909,2,ro20; ros16,Pilbara Offshore,Scott Reef,Moderate
Pilbara Offshore <-> Shark Bay,9,2,0.10122222222222223,0.01634608345887309,0.061,0.117,9,ev19; ev21,Pilbara Offshore,Shark Bay,Moderate
Pilbara Offshore <-> Southwest coast,1,1,0.389,NA,0.389,0.389,1,ev21,Pilbara Offshore,Southwest coast,Low
Pilbara Offshore <-> Timor Sea,4,1,0.2325,0.023629078131263036,0.2,0.25,4,ro20,Pilbara Offshore,Timor Sea,Low
Pilbara nearshore <-> Pilbara Offshore,10,2,0.0189,0.005665686189686118,0.009,0.031,2,ev19; ev21,Pilbara nearshore,Pilbara Offshore,High
Pilbara nearshore <-> Shark Bay,6,2,0.08433333333333333,0.030493715199474577,0.038,0.109,6,ev19; ev21,Pilbara nearshore,Shark Bay,Moderate
Pilbara nearshore <-> Southwest coast,2,1,0.328,0.008485281374238578,0.322,0.334,2,ev21,Pilbara nearshore,Southwest coast,Low
Rowley Shoals <-> Scott Reef,44,3,0.033986363636363634,0.01985643344762705,0,0.09,44,ro20; ros16; un09,Rowley Shoals,Scott Reef,High
Rowley Shoals <-> Timor Sea,4,1,0.2175,0.017078251276599322,0.2,0.24,4,ro20,Rowley Shoals,Timor Sea,Low
Scott Reef <-> Timor Sea,4,1,0.14,0.021602468994692873,0.12,0.17,4,ro20,Scott Reef,Timor Sea,Moderate
Shark Bay <-> Southwest coast,1,1,0.37,NA,0.37,0.37,1,ev21,Shark Bay,Southwest coast,Low
